"Var1","Var2","value"
"log(TOC (mg/L))","log(sCOD (mg/L))",0.8
"log(TN (mg/L))","log(sCOD (mg/L))",0.8
"log(Grab Flow (MLD))","log(sCOD (mg/L))",-0.2
"log(Grab Temp (C))","log(sCOD (mg/L))",0.210818510677892
"log(Filtered UVT_Grab (%))","log(sCOD (mg/L))",-1
"log(E-coli (MPN/mL))","log(sCOD (mg/L))",0.737864787372622
"log(Fecal (MPN/mL))","log(sCOD (mg/L))",0
"Cumulative 3-day pre-sampling-day precip (mm)","log(sCOD (mg/L))",-0.774596669241483
"log(Mean temp (K))","log(sCOD (mg/L))",-0.8
"Adeno_logGCpermLsample","log(COD (mg/L))",0
"CrAss_logGCpermLsample","log(COD (mg/L))",0.302283461961271
"PMMV_logGCpermLsample","log(COD (mg/L))",-0.971625413446944
"uidA_logGCpermLsample","log(COD (mg/L))",0.259100110252518
"log(Raw Flow (MLD))","log(COD (mg/L))",-0.8
"log(TS (mg/L))","log(COD (mg/L))",-0.8
"pH_Grab","log(COD (mg/L))",-0.8
"log(Turbidity (NTU))","log(COD (mg/L))",-0.4
"log(TSS (mg/L))","log(COD (mg/L))",0.316227766016838
"log(BOD (mg/L))","log(COD (mg/L))",0.8
"log(cBOD (mg/L))","log(COD (mg/L))",0.948683298050514
"log(sCOD (mg/L))","log(COD (mg/L))",1
"log(COD (mg/L))","log(COD (mg/L))",1
"log(NH4-N (mg/L))","log(COD (mg/L))",0.8
"log(NOx-N (mg/L))","log(COD (mg/L))",-0.8
"log(PO4-P (mg/L))","log(COD (mg/L))",-0.6
"log(TP (mg/L))","log(COD (mg/L))",-0.8
"log(TOC (mg/L))","log(COD (mg/L))",0.8
"log(TN (mg/L))","log(COD (mg/L))",0.8
"log(Grab Flow (MLD))","log(COD (mg/L))",-0.2
"log(Grab Temp (C))","log(COD (mg/L))",0.210818510677892
"log(Filtered UVT_Grab (%))","log(COD (mg/L))",-1
"log(E-coli (MPN/mL))","log(COD (mg/L))",0.737864787372622
"log(Fecal (MPN/mL))","log(COD (mg/L))",0
"Cumulative 3-day pre-sampling-day precip (mm)","log(COD (mg/L))",-0.774596669241483
"log(Mean temp (K))","log(COD (mg/L))",-0.8
"Adeno_logGCpermLsample","log(NH4-N (mg/L))",0.410241841233154
"CrAss_logGCpermLsample","log(NH4-N (mg/L))",-0.237508434398142
"PMMV_logGCpermLsample","log(NH4-N (mg/L))",-0.777300330757555
"uidA_logGCpermLsample","log(NH4-N (mg/L))",-0.323875137815648
"log(Raw Flow (MLD))","log(NH4-N (mg/L))",-1
"log(TS (mg/L))","log(NH4-N (mg/L))",-1
